sentpktdelta,parameters,time,appid,rcvdbyte,eventtype,devid,logid,service,sentpkt,direction,clouduser,proto,rcvdpktdelta,date,duration,tz,vd,dstcountry,filesize,filename,dstintf,srcintfrole,masterdstmac,action,srcip,srcintf,incidentserialno,mastersrcmac,appcat,subtype,sessionid,srcserver,poluuid,policytype,applist,msg,countapp,dstintfrole,identifier,dstport,utmaction,rcvdpkt,transip,icmptype,transport,durationdelta,icmpid,type,sentdelta,devname,app,cloudaction,srcport,rcvddelta,dstmac,level,dstip,icmpcode,eventtime,sentbyte,policyid,trandisp,srcmac,srccountry,apprisk,dstserver
,,21:50:36,16938,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431451,,Operational.Technology,app-ctrl,78114,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus,,40091,,,information,84.3.251.102,,1725771035821891492,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,4,00 01 00 01,port7,undefined,,pass,84.3.251.103,port7,206431458,,Operational.Technology,app-ctrl,78116,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,others,44039,,,information,84.3.251.102,,1725771035827252293,,4,,,Hungary,elevated,
,"UnitID:0, Address:1, Address:1",21:50:36,48883,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,6,"UnitID=0,Ref=1-1,Data=00 01",port7,undefined,,pass,84.3.251.103,port7,206431459,,Operational.Technology,app-ctrl,78116,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Func03.Read.Holding.Validation,others,44039,,,information,84.3.251.102,,1725771035827383218,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431460,,Operational.Technology,app-ctrl,78116,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,,44039,,,information,84.3.251.102,,1725771035827479839,,4,,,Hungary,elevated,
,,21:50:36,48883,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431461,,Operational.Technology,app-ctrl,78116,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Func03.Read.Holding.Validation,,44039,,,information,84.3.251.102,,1725771035828146702,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,84.3.251.102,6,,2024-09-07,,-0700,root,Hungary,3,02 00 00,port7,undefined,,pass,84.3.251.103,port7,206431462,,Operational.Technology,app-ctrl,78116,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,others,44039,,,information,84.3.251.102,,1725771035828270775,,4,,,Hungary,elevated,
,,21:50:36,16938,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431463,,Operational.Technology,app-ctrl,78116,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus,,44039,,,information,84.3.251.102,,1725771035828369450,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,4,00 01 00 01,port7,undefined,,pass,84.3.251.103,port7,206431470,,Operational.Technology,app-ctrl,78118,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,others,46189,,,information,84.3.251.102,,1725771035833629416,,4,,,Hungary,elevated,
,"UnitID:0, Address:1, Address:1",21:50:36,48883,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,6,"UnitID=0,Ref=1-1,Data=00 01",port7,undefined,,pass,84.3.251.103,port7,206431471,,Operational.Technology,app-ctrl,78118,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Func03.Read.Holding.Validation,others,46189,,,information,84.3.251.102,,1725771035833729647,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431472,,Operational.Technology,app-ctrl,78118,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,,46189,,,information,84.3.251.102,,1725771035833793746,,4,,,Hungary,elevated,
,,21:50:36,48883,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431473,,Operational.Technology,app-ctrl,78118,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Func03.Read.Holding.Validation,,46189,,,information,84.3.251.102,,1725771035834259483,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,84.3.251.102,6,,2024-09-07,,-0700,root,Hungary,3,02 00 00,port7,undefined,,pass,84.3.251.103,port7,206431474,,Operational.Technology,app-ctrl,78118,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,others,46189,,,information,84.3.251.102,,1725771035834349880,,4,,,Hungary,elevated,
,,21:50:36,16938,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431475,,Operational.Technology,app-ctrl,78118,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus,,46189,,,information,84.3.251.102,,1725771035834416532,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,4,00 01 00 01,port7,undefined,,pass,84.3.251.103,port7,206431482,,Operational.Technology,app-ctrl,78120,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,others,34905,,,information,84.3.251.102,,1725771035837859124,,4,,,Hungary,elevated,
,"UnitID:0, Address:1, Address:1",21:50:36,48883,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,6,"UnitID=0,Ref=1-1,Data=00 01",port7,undefined,,pass,84.3.251.103,port7,206431483,,Operational.Technology,app-ctrl,78120,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Func03.Read.Holding.Validation,others,34905,,,information,84.3.251.102,,1725771035837953435,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431484,,Operational.Technology,app-ctrl,78120,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,,34905,,,information,84.3.251.102,,1725771035838389120,,4,,,Hungary,elevated,
,,21:50:36,48883,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431485,,Operational.Technology,app-ctrl,78120,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Func03.Read.Holding.Validation,,34905,,,information,84.3.251.102,,1725771035839006854,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,84.3.251.102,6,,2024-09-07,,-0700,root,Hungary,3,02 00 10,port7,undefined,,pass,84.3.251.103,port7,206431486,,Operational.Technology,app-ctrl,78120,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,others,34905,,,information,84.3.251.102,,1725771035839118642,,4,,,Hungary,elevated,
,,21:50:36,16938,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431487,,Operational.Technology,app-ctrl,78120,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus,,34905,,,information,84.3.251.102,,1725771035839206561,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,4,00 01 00 01,port7,undefined,,pass,84.3.251.103,port7,206431494,,Operational.Technology,app-ctrl,78124,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,others,49017,,,information,84.3.251.102,,1725771035852861049,,4,,,Hungary,elevated,
,"UnitID:0, Address:1, Address:1",21:50:36,48883,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,6,"UnitID=0,Ref=1-1,Data=00 01",port7,undefined,,pass,84.3.251.103,port7,206431495,,Operational.Technology,app-ctrl,78124,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Func03.Read.Holding.Validation,others,49017,,,information,84.3.251.102,,1725771035852933401,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431496,,Operational.Technology,app-ctrl,78124,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,,49017,,,information,84.3.251.102,,1725771035852982453,,4,,,Hungary,elevated,
,,21:50:36,48883,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431497,,Operational.Technology,app-ctrl,78124,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Func03.Read.Holding.Validation,,49017,,,information,84.3.251.102,,1725771035853270305,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,84.3.251.102,6,,2024-09-07,,-0700,root,Hungary,3,02 00 48,port7,undefined,,pass,84.3.251.103,port7,206431498,,Operational.Technology,app-ctrl,78124,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,others,49017,,,information,84.3.251.102,,1725771035853332583,,4,,,Hungary,elevated,
,,21:50:36,16938,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431499,,Operational.Technology,app-ctrl,78124,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus,,49017,,,information,84.3.251.102,,1725771035853382361,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,4,00 01 00 01,port7,undefined,,pass,84.3.251.103,port7,206431506,,Operational.Technology,app-ctrl,78126,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,others,42121,,,information,84.3.251.102,,1725771035855648914,,4,,,Hungary,elevated,
,"UnitID:0, Address:1, Address:1",21:50:36,48883,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,6,"UnitID=0,Ref=1-1,Data=00 01",port7,undefined,,pass,84.3.251.103,port7,206431507,,Operational.Technology,app-ctrl,78126,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Func03.Read.Holding.Validation,others,42121,,,information,84.3.251.102,,1725771035855703924,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431508,,Operational.Technology,app-ctrl,78126,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,,42121,,,information,84.3.251.102,,1725771035855732370,,4,,,Hungary,elevated,
,,21:50:36,48883,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431509,,Operational.Technology,app-ctrl,78126,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Func03.Read.Holding.Validation,,42121,,,information,84.3.251.102,,1725771035855953331,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,84.3.251.102,6,,2024-09-07,,-0700,root,Hungary,3,02 00 60,port7,undefined,,pass,84.3.251.103,port7,206431510,,Operational.Technology,app-ctrl,78126,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,others,42121,,,information,84.3.251.102,,1725771035856000195,,4,,,Hungary,elevated,
,,21:50:36,16938,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431511,,Operational.Technology,app-ctrl,78126,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus,,42121,,,information,84.3.251.102,,1725771035856040494,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,4,00 01 00 01,port7,undefined,,pass,84.3.251.103,port7,206431518,,Operational.Technology,app-ctrl,78128,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,others,48917,,,information,84.3.251.102,,1725771035857856616,,4,,,Hungary,elevated,
,"UnitID:0, Address:1, Address:1",21:50:36,48883,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,6,"UnitID=0,Ref=1-1,Data=00 01",port7,undefined,,pass,84.3.251.103,port7,206431519,,Operational.Technology,app-ctrl,78128,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Func03.Read.Holding.Validation,others,48917,,,information,84.3.251.102,,1725771035857908569,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431520,,Operational.Technology,app-ctrl,78128,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,,48917,,,information,84.3.251.102,,1725771035857944169,,4,,,Hungary,elevated,
,,21:50:36,48883,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431521,,Operational.Technology,app-ctrl,78128,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Func03.Read.Holding.Validation,,48917,,,information,84.3.251.102,,1725771035858185738,,4,,,Hungary,elevated,
,,21:50:36,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,84.3.251.102,6,,2024-09-07,,-0700,root,Hungary,3,02 00 70,port7,undefined,,pass,84.3.251.103,port7,206431522,,Operational.Technology,app-ctrl,78128,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus_Read.Holding.Registers,others,48917,,,information,84.3.251.102,,1725771035858232364,,4,,,Hungary,elevated,
,,21:50:36,16938,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206431523,,Operational.Technology,app-ctrl,78128,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus,,undefined,,502,,,,,,,,utm,,FGDIT,Modbus,,48917,,,information,84.3.251.102,,1725771035858272334,,4,,,Hungary,elevated,
